	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	7.6421	1	1	1	1	2	75318
1	you	6.7356	1	1	2	2	3	1286665
2	were	10.76625	1	1	3	3	4	229411
3	to	9.3432	1	1	4	4	2	2148027
4	journey	18.260800000000003	1	1	5	5	7	2679
5	to	8.9892	1	1	6	6	2	2148027
6	the	7.1203	1	1	7	7	3	4187023
7	North	12.11445	1	1	8	8	5	13794
8	of	9.36555	1	1	9	9	2	2057315
9	England,	22.8708	1	1	10	10	8	2026
10	you	7.2379999999999995	1	1	11	11	3	1286665
11	would	10.835650000000001	1	1	12	12	5	171047
12	come	10.42785	1	1	13	13	4	102424
13	to	8.90855	1	1	14	14	2	2148027
14	a	8.83005	1	1	15	15	1	1933416
15	valley	18.51885	1	1	16	16	6	1791
16	that	8.1981	1	1	17	17	4	914941
17	is	8.3717	1	1	18	18	2	1041416
18	surrounded	17.58265	1	1	19	19	10	2065
19	by	11.1412	1	1	20	20	2	302746
20	moors	37.61145	1	1	21	21	5	46
21	as	10.58745	1	1	22	22	2	438309
22	high	14.379750000000001	1	1	23	23	4	19866
23	as	10.3506	1	1	24	24	2	438309
24	mountains.	28.0053	1	1	25	25	10	690
25	It	5.2184	1	2	1	26	2	220551
26	is	8.1738	1	2	2	27	2	1041416
27	in	9.59535	1	2	3	28	2	1489991
28	this	9.003699999999998	1	2	4	29	4	394225
29	valley	18.50205	1	2	5	30	6	1791
30	where	10.0556	1	2	6	31	5	99866
31	you	7.209899999999999	1	2	7	32	3	1286665
32	would	10.835650000000001	1	2	8	33	5	171047
33	find	13.1735	1	2	9	34	4	52461
34	the	7.51825	1	2	10	35	3	4187023
35	city	15.040600000000001	1	2	11	36	4	26218
36	of	9.044	1	2	12	37	2	2057315
37	Bradford,	25.14285	1	2	13	38	9	107
38	where	9.7289	1	2	14	39	5	99866
39	once	14.3224	1	2	15	40	4	25127
40	a	9.08895	1	2	16	41	1	1933416
41	thousand	16.358649999999997	1	2	17	42	8	9653
42	spinning	19.88145	1	2	18	43	8	735
43	jennies	53.50535	1	2	19	44	7	2
44	that	8.00005	1	2	20	45	4	914941
45	hummed	36.31075	1	2	21	46	6	84
46	and	7.5058	1	2	22	47	3	2001994
47	clattered	35.33715	1	2	23	48	9	63
48	spun	19.686700000000002	1	2	24	49	4	400
49	wool	19.2103	1	2	25	50	4	530
50	into	13.20775	1	2	26	51	4	116557
51	money	16.029049999999998	1	2	27	52	5	23797
52	for	10.44605	1	2	28	53	3	657368
53	the	7.221500000000001	1	2	29	54	3	4187023
54	long-bearded	63.62125	1	2	30	55	12	4
55	mill	18.3622	1	2	31	56	4	747
56	owners.	28.508650000000003	1	2	32	57	7	207
57	That	6.7475000000000005	1	3	1	58	4	57508
58	all	10.221900000000002	1	3	2	59	3	272314
59	mill	18.08335	1	3	3	60	4	747
60	owners	18.77615	1	3	4	61	6	1077
61	were	11.07345	1	3	5	62	4	229411
62	generally	17.18485	1	3	6	63	9	4532
63	busy	16.64265	1	3	7	64	4	4514
64	as	10.3216	1	3	8	65	2	438309
65	beavers	32.86275	1	3	9	66	7	27
66	and	7.1019000000000005	1	3	10	67	3	2001994
67	quite	13.838899999999999	1	3	11	68	5	29554
68	pleased	17.1145	1	3	12	69	7	2882
69	with	10.468250000000001	1	3	13	70	4	532188
70	themselves	15.5246	1	3	14	71	10	8193
71	for	10.704	1	3	15	72	3	657368
72	being	14.13805	1	3	16	73	5	55238
73	so	9.0679	1	3	17	74	2	222473
74	successful	17.6813	1	3	18	75	10	4612
75	and	7.03565	1	3	19	76	3	2001994
76	well	9.2532	1	3	20	77	4	65604
77	off	13.15185	1	3	21	78	3	57270
78	was	10.42095	1	3	22	79	3	865130
79	known	15.49085	1	3	23	80	5	40184
80	to	9.1634	1	3	24	81	2	2148027
81	the	7.1203	1	3	25	82	3	4187023
82	residents	17.6749	1	3	26	83	9	1347
83	of	8.8255	1	3	27	84	2	2057315
84	Bradford,	25.14285	1	3	28	85	9	107
85	and	7.28505	1	3	29	86	3	2001994
86	if	9.8963	1	3	30	87	2	193531
87	you	6.8173	1	3	31	88	3	1286665
88	were	10.76625	1	3	32	89	4	229411
89	to	9.3432	1	3	33	90	2	2148027
90	go	10.85435	1	3	34	91	2	152253
91	into	12.6511	1	3	35	92	4	116557
92	the	6.91795	1	3	36	93	3	4187023
93	city	15.040600000000001	1	3	37	94	4	26218
94	to	9.4677	1	3	38	95	2	2148027
95	visit	16.19645	1	3	39	96	5	5580
96	the	7.56415	1	3	40	97	3	4187023
97	stately	19.1738	1	3	41	98	7	387
98	City	15.09245	1	3	42	99	4	8326
99	Hall,	24.2896	1	3	43	100	5	787
100	you	7.2379999999999995	1	3	44	101	3	1286665
101	would	10.835650000000001	1	3	45	102	5	171047
102	see	10.6968	1	3	46	103	3	141500
103	there	9.92065	1	3	47	104	5	172849
104	the	7.554600000000001	1	3	48	105	3	4187023
105	Crest	18.82725	1	3	49	106	5	32
106	of	9.30765	1	3	50	107	2	2057315
107	the	6.9295	1	3	51	108	3	4187023
108	City	14.555150000000001	1	3	52	109	4	8326
109	of	8.8645	1	3	53	110	2	2057315
110	Bradford,	25.14285	1	3	54	111	9	107
111	which	9.29475	1	3	55	112	5	169235
112	those	12.586549999999999	1	3	56	113	5	61541
113	same	14.45785	1	3	57	114	4	49017
114	mill	18.244300000000003	1	3	58	115	4	747
115	owners	18.77615	1	3	59	116	6	1077
116	created	16.997500000000002	1	3	60	117	7	10788
117	to	9.055150000000001	1	3	61	118	2	2148027
118	celebrate	18.001849999999997	1	3	62	119	9	1350
119	their	11.597850000000001	1	3	63	120	5	141697
120	achievements.	30.50995	1	3	64	121	13	101
121	It	5.2184	1	4	1	122	2	220551
122	shows	16.52725	1	4	2	123	5	7071
123	a	9.02655	1	4	3	124	1	1933416
124	sinister	19.80125	1	4	4	125	8	239
125	looking	13.3557	1	4	5	126	7	29194
126	boar's	32.934200000000004	1	4	6	127	6	21
127	head	14.96015	1	4	7	128	4	25889
128	sitting	15.121649999999999	1	4	8	129	7	8881
129	on	10.31575	1	4	9	130	2	560861
130	top	15.202449999999999	1	4	10	131	3	16514
131	of	9.0868	1	4	11	132	2	2057315
132	a	8.73995	1	4	12	133	1	1933416
133	well	9.17235	1	4	13	134	4	65604
134	which	9.5854	1	4	14	135	5	169235
135	seems	14.916599999999999	1	4	15	136	5	12750
136	puzzling	19.8457	1	4	16	137	8	136
137	at	11.655000000000001	1	4	17	138	2	392110
138	first,	21.401249999999997	1	4	18	139	6	3927
139	but	8.87825	1	4	19	140	3	262599
140	the	7.4406	1	4	20	141	3	4187023
141	reason	14.87795	1	4	21	142	6	12075
142	for	10.3266	1	4	22	143	3	657368
143	this	9.16865	1	4	23	144	4	394225
144	symbol	17.30305	1	4	24	145	6	1854
145	is	8.550149999999999	1	4	25	146	2	1041416
146	a	8.669350000000001	1	4	26	147	1	1933416
147	matter	14.3941	1	4	27	148	6	15824
148	of	9.04945	1	4	28	149	2	2057315
149	legend.	28.86095	1	4	29	150	7	207
150	There	7.4117	1	5	1	151	5	57926
151	was	9.9858	1	5	2	152	3	865130
152	once,	22.706400000000002	1	5	3	153	5	2197
153	legend	18.9449	1	5	4	154	6	796
154	has	12.3185	1	5	5	155	3	169230
155	it,	16.6553	1	5	6	156	3	52053
156	a	9.20965	1	5	7	157	1	1933416
157	fearsome	22.09545	1	5	8	158	8	103
158	boar,	31.0887	1	5	9	159	5	44
159	which	9.29475	1	5	10	160	5	169235
160	lived	15.6884	1	5	11	161	5	14857
161	in	9.320699999999999	1	5	12	162	2	1489991
162	a	8.6799	1	5	13	163	1	1933416
163	wood	17.233449999999998	1	5	14	164	4	3677
164	located	15.5393	1	5	15	165	7	8522
165	just	10.2481	1	5	16	166	4	214572
166	outside	15.363900000000001	1	5	17	167	7	11468
167	the	7.47075	1	5	18	168	3	4187023
168	manor	20.776699999999998	1	5	19	169	5	293
169	of	9.595	1	5	20	170	2	2057315
170	Bradford.	26.22905	1	5	21	171	9	62
171	A	7.7729	1	6	1	172	1	101973
172	source	17.208	1	6	2	173	6	3674
173	of	8.975750000000001	1	6	3	174	2	2057315
174	great	13.5643	1	6	4	175	5	43756
175	trouble	15.894350000000001	1	6	5	176	7	7188
176	to	9.15385	1	6	6	177	2	2148027
177	the	7.1203	1	6	7	178	3	4187023
178	local	15.76215	1	6	8	179	5	12295
179	folk	17.2834	1	6	9	180	4	1687
180	the	7.5589	1	6	10	181	3	4187023
181	boar	21.176	1	6	11	182	4	219
182	was,	20.10895	1	6	12	183	4	8233
183	bringing	17.4291	1	6	13	184	8	3666
184	terror	19.379350000000002	1	6	14	185	6	929
185	to	9.52815	1	6	15	186	2	2148027
186	the	7.1203	1	6	16	187	3	4187023
187	peaceful	18.58325	1	6	17	188	8	1049
188	flocks	21.62415	1	6	18	189	6	162
189	and	7.34385	1	6	19	190	3	2001994
190	ravaging	41.425200000000004	1	6	20	191	8	20
191	the	7.3494	1	6	21	192	3	4187023
192	countryside	18.860950000000003	1	6	22	193	11	461
193	around.	25.000149999999998	1	6	23	194	7	4632
194	Even	10.104700000000001	1	7	1	195	4	10782
195	worse,	24.9854	1	7	2	196	6	555
196	however,	23.072899999999997	1	7	3	197	8	7829
197	the	7.53675	1	7	4	198	3	4187023
198	boar	21.176	1	7	5	199	4	219
199	most	14.3476	1	7	6	200	4	58233
200	liked	16.761	1	7	7	201	5	5918
201	to	9.0938	1	7	8	202	2	2148027
