	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	10.06945	1	1	1	1	2	10669
1	you	9.64275	1	1	2	2	3	27690
2	were	9.2441	1	1	3	3	4	356521
3	to	8.55115	1	1	4	4	2	1988038
4	journey	18.5178	1	1	5	5	7	3680
5	to	6.29695	1	1	6	6	2	1988038
6	the	3.3903	1	1	7	7	3	5611464
7	North	8.1817	1	1	8	8	5	34149
8	of	3.6724499999999995	1	1	9	9	2	2750306
9	England,	33.2186	1	1	10	10	8	0
10	you	16.3991	1	1	11	11	3	27690
11	would	9.320250000000001	1	1	12	12	5	126894
12	come	15.66435	1	1	13	13	4	12335
13	to	5.019299999999999	1	1	14	14	2	1988038
14	a	7.25415	1	1	15	15	1	1684274
15	valley	17.3049	1	1	16	16	6	2939
16	that	7.8596	1	1	17	17	4	682579
17	is	8.10615	1	1	18	18	2	514867
18	surrounded	14.41	1	1	19	19	10	3423
19	by	4.53425	1	1	20	20	2	603586
20	moors	19.884349999999998	1	1	21	21	5	136
21	as	8.25295	1	1	22	22	2	677897
22	high	12.4388	1	1	23	23	4	39012
23	as	8.04075	1	1	24	24	2	677897
24	mountains.	32.4235	1	1	25	25	10	0
25	It	5.3423	1	2	1	26	2	119805
26	is	4.7316	1	2	2	27	2	514867
27	in	5.99525	1	2	3	28	2	1903316
28	this	8.98095	1	2	4	29	4	146224
29	valley	18.9817	1	2	5	30	6	2939
30	where	9.66695	1	2	6	31	5	74655
31	you	12.129100000000001	1	2	7	32	3	27690
32	would	9.320250000000001	1	2	8	33	5	126894
33	find	15.63465	1	2	9	34	4	12416
34	the	3.857	1	2	10	35	3	5611464
35	city	11.11105	1	2	11	36	4	39274
36	of	4.0819	1	2	12	37	2	2750306
37	Bradford,	37.730900000000005	1	2	13	38	9	0
38	where	12.1887	1	2	14	39	5	74655
39	once	13.5282	1	2	15	40	4	17190
40	a	7.1027000000000005	1	2	16	41	1	1684274
41	thousand	14.2714	1	2	17	42	8	2965
42	spinning	19.217599999999997	1	2	18	43	8	643
43	jennies	40.32295	1	2	19	44	7	5
44	that	6.45465	1	2	20	45	4	682579
45	hummed	27.607599999999998	1	2	21	46	6	17
46	and	7.40485	1	2	22	47	3	2510744
47	clattered	28.03725	1	2	23	48	9	3
48	spun	22.223750000000003	1	2	24	49	4	583
49	wool	16.79225	1	2	25	50	4	646
50	into	11.0792	1	2	26	51	4	124034
51	money	19.5771	1	2	27	52	5	11215
52	for	5.2107	1	2	28	53	3	677963
53	the	3.1304999999999996	1	2	29	54	3	5611464
54	long-bearded	58.46295	1	2	30	55	12	0
55	mill	19.520400000000002	1	2	31	56	4	1527
56	owners.	24.228	1	2	32	57	7	0
57	That	10.37095	1	3	1	58	4	11528
58	all	10.005700000000001	1	3	2	59	3	98292
59	mill	19.4459	1	3	3	60	4	1527
60	owners	11.54375	1	3	4	61	6	3129
61	were	8.419699999999999	1	3	5	62	4	356521
62	generally	9.5625	1	3	6	63	9	14761
63	busy	16.7209	1	3	7	64	4	1227
64	as	7.450099999999999	1	3	8	65	2	677897
65	beavers	30.91505	1	3	9	66	7	55
66	and	7.67895	1	3	10	67	3	2510744
67	quite	15.901050000000001	1	3	11	68	5	4987
68	pleased	13.9582	1	3	12	69	7	1549
69	with	4.32655	1	3	13	70	4	634654
70	themselves	15.0519	1	3	14	71	10	9992
71	for	7.40095	1	3	15	72	3	677963
72	being	11.64705	1	3	16	73	5	68511
73	so	11.386199999999999	1	3	17	74	2	54126
74	successful	13.19875	1	3	18	75	10	14015
75	and	8.10685	1	3	19	76	3	2510744
76	well	12.089500000000001	1	3	20	77	4	61873
77	off	14.6237	1	3	21	78	3	40958
78	was	8.211500000000001	1	3	22	79	3	1080224
79	known	9.0105	1	3	23	80	5	54387
80	to	5.86695	1	3	24	81	2	1988038
81	the	3.3903	1	3	25	82	3	5611464
82	residents	13.59455	1	3	26	83	9	6490
83	of	1.91315	1	3	27	84	2	2750306
84	Bradford,	37.730900000000005	1	3	28	85	9	0
85	and	10.0576	1	3	29	86	3	2510744
86	if	10.92455	1	3	30	87	2	34963
87	you	10.04285	1	3	31	88	3	27690
88	were	9.2441	1	3	32	89	4	356521
89	to	8.55115	1	3	33	90	2	1988038
90	go	15.28925	1	3	34	91	2	14475
91	into	9.083300000000001	1	3	35	92	4	124034
92	the	3.9865000000000004	1	3	36	93	3	5611464
93	city	11.11105	1	3	37	94	4	39274
94	to	8.57345	1	3	38	95	2	1988038
95	visit	16.52915	1	3	39	96	5	6239
96	the	4.83505	1	3	40	97	3	5611464
97	stately	27.3959	1	3	41	98	7	115
98	City	14.4161	1	3	42	99	4	25773
99	Hall,	31.325000000000003	1	3	43	100	5	0
100	you	16.3991	1	3	44	101	3	27690
101	would	9.320250000000001	1	3	45	102	5	126894
102	see	15.9222	1	3	46	103	3	15367
103	there	9.7418	1	3	47	104	5	62555
104	the	5.90005	1	3	48	105	3	5611464
105	Crest	16.24505	1	3	49	106	5	127
106	of	4.78345	1	3	50	107	2	2750306
107	the	4.0587	1	3	51	108	3	5611464
108	City	11.08275	1	3	52	109	4	25773
109	of	1.8107000000000002	1	3	53	110	2	2750306
110	Bradford,	37.730900000000005	1	3	54	111	9	0
111	which	13.349350000000001	1	3	55	112	5	276783
112	those	11.8655	1	3	56	113	5	31043
113	same	14.12235	1	3	57	114	4	44903
114	mill	19.71955	1	3	58	115	4	1527
115	owners	11.54375	1	3	59	116	6	3129
116	created	12.401	1	3	60	117	7	19489
117	to	6.902049999999999	1	3	61	118	2	1988038
118	celebrate	15.52035	1	3	62	119	9	1526
119	their	8.4073	1	3	63	120	5	187293
120	achievements.	27.728749999999998	1	3	64	121	13	0
121	It	5.3423	1	4	1	122	2	119805
122	shows	11.6064	1	4	2	123	5	11162
123	a	8.6144	1	4	3	124	1	1684274
124	sinister	16.469450000000002	1	4	4	125	8	358
125	looking	15.7174	1	4	5	126	7	5153
126	boar's	48.765150000000006	1	4	6	127	6	0
127	head	14.573599999999999	1	4	7	128	4	19105
128	sitting	17.8594	1	4	8	129	7	2202
129	on	5.3271	1	4	9	130	2	691658
130	top	12.81665	1	4	10	131	3	26732
131	of	2.9522500000000003	1	4	11	132	2	2750306
132	a	8.2284	1	4	12	133	1	1684274
133	well	11.1938	1	4	13	134	4	61873
134	which	13.12545	1	4	14	135	5	276783
135	seems	14.502600000000001	1	4	15	136	5	4321
136	puzzling	25.617649999999998	1	4	16	137	8	73
137	at	7.16445	1	4	17	138	2	419116
138	first,	28.589399999999998	1	4	18	139	6	0
139	but	13.3753	1	4	19	140	3	204206
140	the	4.2	1	4	20	141	3	5611464
141	reason	13.734449999999999	1	4	21	142	6	5889
142	for	4.62355	1	4	22	143	3	677963
143	this	8.1692	1	4	23	144	4	146224
144	symbol	15.46745	1	4	24	145	6	2770
145	is	9.377400000000002	1	4	25	146	2	514867
146	a	5.89675	1	4	26	147	1	1684274
147	matter	13.046700000000001	1	4	27	148	6	6128
148	of	3.4521	1	4	28	149	2	2750306
149	legend.	31.61345	1	4	29	150	7	0
150	There	8.431000000000001	1	5	1	151	5	28528
151	was	4.7953	1	5	2	152	3	1080224
152	once,	31.070149999999998	1	5	3	153	5	0
