config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-148078.56688519794	-0.17586319269984674	43.04937294239062	5.1126914101246565e-05	2074752
srp_2_768	-148071.92695010078	-0.17585530688483603	49.689308039553	5.901272911194998e-05	14177280
srp_4_384	-148077.74692959242	-0.1758622188924032	43.86932854790939	5.210072154476715e-05	7688448
srp_8_192	-148052.50201095748	-0.17583223715984073	69.1142471828498	8.208245410725502e-05	3854208
srp_24_192	-148073.26957293524	-0.17585690142983484	48.34668520509149	5.741818411312394e-05	10972032
srp_1_1536	-148078.17463786918	-0.17586272685344495	43.44162027115817	5.1592760503032236e-05	30693888
srp_16_192	-148088.49221712386	-0.17587498036498836	33.12404101647553	3.933924895960325e-05	7413120
srp_2_1536	-148092.38750665248	-0.1758796065446402	29.228751487855334	3.471306930779365e-05	59025408
srp_2_192	-148068.33072834203	-0.17585103588834103	53.285529798304196	6.328372560694552e-05	1185024
srp_1_384	-148076.86751656726	-0.1758611744712857	44.74874157307204	5.3145142662286715e-05	2365056
srp_4_768	-148076.99970469033	-0.17586133146244146	44.616553450003266	5.298815150651805e-05	28353024
srp_24_1536	-148085.12340017577	-0.17587097944225813	36.49285796456388	4.3340171689842026e-05	682318848
srp_16_1536	-148078.99363715772	-0.1758636995251336	42.622620982612716	5.062008881439973e-05	455666688
srp_1_192	-148023.2545205395	-0.17579750183553583	98.36173760081874	0.00011681777841215513	740160
srp_2_384	-148080.44212969145	-0.175865419804624	41.174128448881675	4.889980932397676e-05	4139520
srp_1_768	-148064.12868178805	-0.17584604539350845	57.48757635228685	6.827422043952786e-05	7089408
srp_4_1536	-148080.31653001194	-0.17586527063813012	41.29972812838969	4.904897581785215e-05	115688448
srp_8_1536	-148079.77772735842	-0.17586463073759032	41.838530781911686	4.968887635765809e-05	229014528
