config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-147963.8254052997	-0.1757269217768194	157.79085179048707	0.00018739783588138747	2074752
srp_2_768	-148078.59664417873	-0.17586322804263457	43.01961291144835	5.109157006620865e-05	14177280
srp_4_384	-148078.37208712363	-0.17586296135096213	43.244169966550544	5.135826173863796e-05	7688448
srp_8_192	-148056.4735657855	-0.1758369539147819	65.14269130467437	7.736569791887788e-05	3854208
srp_24_192	-148099.28148899946	-0.17588779407489158	22.33476809071726	2.652553780919141e-05	10972032
srp_1_1536	-148086.87810369313	-0.17587306338843142	34.73815339704743	4.125622426936429e-05	30693888
srp_16_192	-148053.45242711823	-0.1758333659067211	68.16382997194887	8.095370597967824e-05	7413120
srp_2_1536	-148083.6610430004	-0.17586924269664303	37.9552140897722	4.5076916057733514e-05	59025408
srp_2_192	-147897.4496661595	-0.17564809166893444	224.1665909306903	0.00026622794376633327	1185024
srp_1_384	-148076.39005779303	-0.17586060742484416	45.226199297147105	5.371218785661347e-05	2365056
srp_4_768	-148074.4274422077	-0.17585827655515696	47.188814882480074	5.604305754382973e-05	28353024
srp_24_1536	-148082.31996458463	-0.1758676499858489	39.29629250554717	4.666962685187488e-05	682318848
srp_16_1536	-148083.5603187071	-0.17586912307301233	38.05593838306959	4.5196539688447393e-05	455666688
srp_1_192	-147992.56401399773	-0.17576105273571305	129.0522430924466	0.00015326687698773956	740160
srp_2_384	-148075.2748018223	-0.175859282908543	46.341455267887795	5.50367041577746e-05	4139520
srp_1_768	-148073.21425365467	-0.17585683573075697	48.40200343550532	5.748388194380746e-05	7089408
srp_4_1536	-148085.77266706337	-0.1758717505339169	35.84359002680867	4.256907878387272e-05	115688448
srp_8_1536	-148081.28945743197	-0.1758664261201553	40.32679965821444	4.789349254547385e-05	229014528
