config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-114230.69609464925	-0.1550774854530375	107.69961143578985	0.00014621100541918025	2074752
srp_2_768	-114345.74256141878	-0.15523367041370775	7.346855333744315	9.973955251049839e-06	14177280
srp_4_384	-114345.4052555715	-0.1552332124935128	7.009549486465403	9.516035056102605e-06	7688448
srp_8_192	-114246.20352947201	-0.15509853806043955	92.19217661302537	0.00012515839801715084	3854208
srp_24_192	-114245.08156982533	-0.15509701490872346	93.3141362597089	0.0001266815497332473	10972032
srp_1_1536	-114344.69584312246	-0.1552322494082607	6.300137037425884	8.552949804000363e-06	30693888
srp_16_192	-114156.52758275543	-0.15497679564970518	181.86812332960835	0.00024690080875152504	7413120
srp_2_1536	-114343.58162901757	-0.15523073677174923	5.185922932534595	7.040313292535195e-06	59025408
srp_2_192	-114110.66111949178	-0.15491452818541818	227.73458659325843	0.00030916827303850973	1185024
srp_1_384	-114345.68673409018	-0.15523359462355646	7.291028005143744	9.898165099760175e-06	2365056
srp_4_768	-114344.62129285393	-0.1552321482001916	6.225586768894573	8.451741734900398e-06	28353024
srp_24_1536	-114345.39233102463	-0.15523319494738644	6.996624939594767	9.498488929729905e-06	682318848
srp_16_1536	-114344.56543124453	-0.1552320723635013	6.169725159488735	8.375905044621988e-06	455666688
srp_1_192	-114259.72665685535	-0.15511689680867244	78.66904922969115	0.00010679964978426828	740160
srp_2_384	-114345.71485665969	-0.15523363280223795	7.319150574650848	9.936343781259466e-06	4139520
srp_1_768	-114344.81367749194	-0.15523240937802665	6.417971406903234	8.712919569949708e-06	7089408
srp_4_1536	-114344.4861618741	-0.15523196474886655	6.0904557890607975	8.268290409854953e-06	115688448
srp_8_1536	-114344.41567261718	-0.1552318690539519	6.019966532141552	8.172595495193554e-06	229014528
