config	logLike	logLike_avg	delta_logLike	delta_logLike_avg	size
srp_4_192	-114340.86672066759	-0.15522705106226356	2.4710145934077445	3.354603821602577e-06	2074752
srp_2_768	-114343.75668257033	-0.1552309744212227	5.360976496143849	7.277962780739514e-06	14177280
srp_4_384	-114345.72242753945	-0.15523364308032464	7.326721465273295	9.94662188268499e-06	7688448
srp_8_192	-114336.10335019404	-0.15522058439839323	2.2923558801412582	3.1120600487388856e-06	3854208
srp_24_192	-114340.68665247718	-0.15522680660501054	2.29094640299445	3.11014656856934e-06	10972032
srp_1_1536	-114345.23342293662	-0.155232979216698	6.837716862442903	9.282758256054682e-06	30693888
srp_16_192	-114335.74585304494	-0.15522009906685943	2.649853029244696	3.597391582512036e-06	7413120
srp_2_1536	-114345.43047755607	-0.15523324673441372	7.034771481892676	9.550275971746931e-06	59025408
srp_2_192	-114324.65552351129	-0.155205043040102	13.740182562891277	1.865341833996459e-05	1185024
srp_1_384	-114343.85968287181	-0.15523111425253164	5.463976797633222	7.417794089678066e-06	2365056
srp_4_768	-114345.4619950559	-0.15523328952198998	7.066288981717662	9.593063548009055e-06	28353024
srp_24_1536	-114345.80949214537	-0.15523376127762728	7.41378607119259	1.0064819185332404e-05	682318848
srp_16_1536	-114345.67928596583	-0.15523358451212027	7.283579891649424	9.888053678298549e-06	455666688
srp_1_192	-114293.64542802825	-0.15516294430661284	44.750278045932646	6.075215182911394e-05	740160
srp_2_384	-114345.72278101425	-0.1552336435601955	7.3270749400689965	9.947101753545998e-06	4139520
srp_1_768	-114343.19202803924	-0.1552302078566492	4.79632196505554	6.511398207253205e-06	7089408
srp_4_1536	-114345.48202057875	-0.1552333167082703	7.086314504573238	9.62024982836536e-06	115688448
srp_8_1536	-114345.13024659369	-0.15523283914639846	6.7345405195083	9.142687956498065e-06	229014528
