	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	10.5687	1	1	1	1	2	10669
1	you	16.9603	1	1	2	2	3	27690
2	were	15.6564	1	1	3	3	4	356521
3	to	14.20375	1	1	4	4	2	1988038
4	journey	21.1288	1	1	5	5	7	3680
5	to	14.20835	1	1	6	6	2	1988038
6	the	10.688849999999999	1	1	7	7	3	5611464
7	North	11.44525	1	1	8	8	5	34149
8	of	14.820599999999999	1	1	9	9	2	2750306
9	England,	36.46095	1	1	10	10	8	0
10	you	16.93775	1	1	11	11	3	27690
11	would	16.9875	1	1	12	12	5	126894
12	come	18.85385	1	1	13	13	4	12335
13	to	14.215250000000001	1	1	14	14	2	1988038
14	a	12.547699999999999	1	1	15	15	1	1684274
15	valley	21.469700000000003	1	1	16	16	6	2939
16	that	15.012599999999999	1	1	17	17	4	682579
17	is	13.909099999999999	1	1	18	18	2	514867
18	surrounded	19.30415	1	1	19	19	10	3423
19	by	14.162749999999999	1	1	20	20	2	603586
20	moors	22.9259	1	1	21	21	5	136
21	as	14.097249999999999	1	1	22	22	2	677897
22	high	17.815849999999998	1	1	23	23	4	39012
23	as	14.14785	1	1	24	24	2	677897
24	mountains.	38.6489	1	1	25	25	10	0
25	It	7.5556	1	2	1	26	2	119805
26	is	13.9373	1	2	2	27	2	514867
27	in	12.698350000000001	1	2	3	28	2	1903316
28	this	15.13555	1	2	4	29	4	146224
29	valley	21.4524	1	2	5	30	6	2939
30	where	15.19575	1	2	6	31	5	74655
31	you	16.96	1	2	7	32	3	27690
32	would	16.9875	1	2	8	33	5	126894
33	find	19.4319	1	2	9	34	4	12416
34	the	10.689	1	2	10	35	3	5611464
35	city	19.3457	1	2	11	36	4	39274
36	of	14.7956	1	2	12	37	2	2750306
37	Bradford,	39.4309	1	2	13	38	9	0
38	where	15.2022	1	2	14	39	5	74655
39	once	17.5275	1	2	15	40	4	17190
40	a	12.53285	1	2	16	41	1	1684274
41	thousand	23.104750000000003	1	2	17	42	8	2965
42	spinning	21.3782	1	2	18	43	8	643
43	jennies	65.52585	1	2	19	44	7	5
44	that	15.03765	1	2	20	45	4	682579
45	hummed	45.08685	1	2	21	46	6	17
46	and	11.96505	1	2	22	47	3	2510744
47	clattered	39.723	1	2	23	48	9	3
48	spun	20.836399999999998	1	2	24	49	4	583
49	wool	20.477	1	2	25	50	4	646
50	into	17.21815	1	2	26	51	4	124034
51	money	19.81275	1	2	27	52	5	11215
52	for	14.431750000000001	1	2	28	53	3	677963
53	the	10.6907	1	2	29	54	3	5611464
54	long-bearded	80.74335	1	2	30	55	12	0
55	mill	21.17385	1	2	31	56	4	1527
56	owners.	37.34425	1	2	32	57	7	0
57	That	10.7441	1	3	1	58	4	11528
58	all	16.369999999999997	1	3	2	59	3	98292
59	mill	21.1764	1	3	3	60	4	1527
60	owners	20.9281	1	3	4	61	6	3129
61	were	15.663599999999999	1	3	5	62	4	356521
62	generally	17.28725	1	3	6	63	9	14761
63	busy	20.12475	1	3	7	64	4	1227
64	as	14.1269	1	3	8	65	2	677897
65	beavers	38.16545	1	3	9	66	7	55
66	and	11.981649999999998	1	3	10	67	3	2510744
67	quite	19.09565	1	3	11	68	5	4987
68	pleased	19.38245	1	3	12	69	7	1549
69	with	14.57075	1	3	13	70	4	634654
70	themselves	18.77545	1	3	14	71	10	9992
71	for	14.419550000000001	1	3	15	72	3	677963
72	being	16.7747	1	3	16	73	5	68511
73	so	17.713549999999998	1	3	17	74	2	54126
74	successful	19.6253	1	3	18	75	10	14015
75	and	11.9968	1	3	19	76	3	2510744
76	well	17.7697	1	3	20	77	4	61873
77	off	18.7888	1	3	21	78	3	40958
78	was	14.0776	1	3	22	79	3	1080224
79	known	16.45865	1	3	23	80	5	54387
80	to	14.20535	1	3	24	81	2	1988038
81	the	10.688849999999999	1	3	25	82	3	5611464
82	residents	18.1094	1	3	26	83	9	6490
83	of	14.813649999999999	1	3	27	84	2	2750306
84	Bradford,	39.4309	1	3	28	85	9	0
85	and	11.97705	1	3	29	86	3	2510744
86	if	16.494300000000003	1	3	30	87	2	34963
87	you	16.942050000000002	1	3	31	88	3	27690
88	were	15.6564	1	3	32	89	4	356521
89	to	14.20375	1	3	33	90	2	1988038
90	go	19.78765	1	3	34	91	2	14475
91	into	17.2243	1	3	35	92	4	124034
92	the	10.6809	1	3	36	93	3	5611464
93	city	19.3457	1	3	37	94	4	39274
94	to	14.204799999999999	1	3	38	95	2	1988038
95	visit	20.4924	1	3	39	96	5	6239
96	the	10.6896	1	3	40	97	3	5611464
97	stately	39.918549999999996	1	3	41	98	7	115
98	City	13.2542	1	3	42	99	4	25773
99	Hall,	36.6523	1	3	43	100	5	0
100	you	16.93775	1	3	44	101	3	27690
101	would	16.9875	1	3	45	102	5	126894
102	see	17.02665	1	3	46	103	3	15367
103	there	15.99265	1	3	47	104	5	62555
104	the	10.66425	1	3	48	105	3	5611464
105	Crest	16.6859	1	3	49	106	5	127
106	of	14.833749999999998	1	3	50	107	2	2750306
107	the	10.6963	1	3	51	108	3	5611464
108	City	13.261700000000001	1	3	52	109	4	25773
109	of	14.821950000000001	1	3	53	110	2	2750306
110	Bradford,	39.4309	1	3	54	111	9	0
111	which	15.048200000000001	1	3	55	112	5	276783
112	those	17.64285	1	3	56	113	5	31043
113	same	18.090600000000002	1	3	57	114	4	44903
114	mill	21.1744	1	3	58	115	4	1527
115	owners	20.9281	1	3	59	116	6	3129
116	created	18.81325	1	3	60	117	7	19489
117	to	14.2011	1	3	61	118	2	1988038
118	celebrate	19.76425	1	3	62	119	9	1526
119	their	16.42345	1	3	63	120	5	187293
120	achievements.	35.70185	1	3	64	121	13	0
121	It	7.5556	1	4	1	122	2	119805
122	shows	18.0426	1	4	2	123	5	11162
123	a	12.5387	1	4	3	124	1	1684274
124	sinister	22.0225	1	4	4	125	8	358
125	looking	17.8082	1	4	5	126	7	5153
126	boar's	62.06245	1	4	6	127	6	0
127	head	18.58535	1	4	7	128	4	19105
128	sitting	19.7789	1	4	8	129	7	2202
129	on	14.16965	1	4	9	130	2	691658
130	top	18.47835	1	4	10	131	3	26732
131	of	14.8156	1	4	11	132	2	2750306
132	a	12.55555	1	4	12	133	1	1684274
133	well	17.748800000000003	1	4	13	134	4	61873
134	which	15.07535	1	4	14	135	5	276783
135	seems	19.65505	1	4	15	136	5	4321
136	puzzling	42.1746	1	4	16	137	8	73
137	at	14.58375	1	4	17	138	2	419116
138	first,	38.525949999999995	1	4	18	139	6	0
139	but	15.41555	1	4	19	140	3	204206
140	the	10.684999999999999	1	4	20	141	3	5611464
141	reason	20.1112	1	4	21	142	6	5889
142	for	14.444700000000001	1	4	22	143	3	677963
143	this	15.1353	1	4	23	144	4	146224
144	symbol	20.92825	1	4	24	145	6	2770
145	is	13.90755	1	4	25	146	2	514867
146	a	12.5229	1	4	26	147	1	1684274
147	matter	21.48195	1	4	27	148	6	6128
148	of	14.81565	1	4	28	149	2	2750306
149	legend.	36.234300000000005	1	4	29	150	7	0
150	There	7.64095	1	5	1	151	5	28528
151	was	14.13035	1	5	2	152	3	1080224
152	once,	40.6886	1	5	3	153	5	0
153	legend	19.7782	1	5	4	154	6	1843
154	has	15.40225	1	5	5	155	3	151408
155	it,	37.6721	1	5	6	156	3	0
156	a	12.52835	1	5	7	157	1	1684274
157	fearsome	41.75625	1	5	8	158	8	108
158	boar,	45.44075	1	5	9	159	5	0
159	which	15.048200000000001	1	5	10	160	5	276783
160	lived	18.02015	1	5	11	161	5	8957
161	in	12.71685	1	5	12	162	2	1903316
162	a	12.5394	1	5	13	163	1	1684274
163	wood	19.205	1	5	14	164	4	3228
164	located	17.35615	1	5	15	165	7	17206
165	just	17.902050000000003	1	5	16	166	4	32345
166	outside	18.85205	1	5	17	167	7	12548
167	the	10.6973	1	5	18	168	3	5611464
168	manor	20.5684	1	5	19	169	5	974
169	of	14.80255	1	5	20	170	2	2750306
170	Bradford.	32.705299999999994	1	5	21	171	9	0
171	A	6.23095	1	6	1	172	1	96615
172	source	19.40495	1	6	2	173	6	7393
173	of	14.8271	1	6	3	174	2	2750306
174	great	18.58495	1	6	4	175	5	19046
175	trouble	21.30945	1	6	5	176	7	2134
176	to	14.197	1	6	6	177	2	1988038
177	the	10.688849999999999	1	6	7	178	3	5611464
178	local	17.39095	1	6	8	179	5	25510
179	folk	19.4301	1	6	9	180	4	2757
180	the	10.672	1	6	10	181	3	5611464
181	boar	22.342399999999998	1	6	11	182	4	199
182	was,	37.23545	1	6	12	183	4	0
183	bringing	18.9536	1	6	13	184	8	3632
184	terror	20.901899999999998	1	6	14	185	6	598
185	to	14.20495	1	6	15	186	2	1988038
186	the	10.688849999999999	1	6	16	187	3	5611464
187	peaceful	20.696399999999997	1	6	17	188	8	999
188	flocks	20.4976	1	6	18	189	6	409
189	and	11.98525	1	6	19	190	3	2510744
190	ravaging	42.67875	1	6	20	191	8	64
191	the	10.674800000000001	1	6	21	192	3	5611464
192	countryside	20.85165	1	6	22	193	11	1046
193	around.	34.517399999999995	1	6	23	194	7	0
194	Even	11.024149999999999	1	7	1	195	4	4255
195	worse,	44.73485	1	7	2	196	6	0
196	however,	39.43875	1	7	3	197	8	0
197	the	10.674900000000001	1	7	4	198	3	5611464
198	boar	22.342399999999998	1	7	5	199	4	199
199	most	16.252049999999997	1	7	6	200	4	84925
200	liked	20.0368	1	7	7	201	5	2549
201	to	14.196950000000001	1	7	8	202	2	1988038
202	go	19.78765	1	7	9	203	2	14475
203	to	14.2153	1	7	10	204	2	1988038
204	the	10.688849999999999	1	7	11	205	3	5611464
205	well	17.7498	1	7	12	206	4	61873
206	that	15.02705	1	7	13	207	4	682579
207	was	14.07065	1	7	14	208	3	1080224
208	in	12.6991	1	7	15	209	2	1903316
209	the	10.68335	1	7	16	210	3	5611464
210	wood	19.20365	1	7	17	211	4	3228
211	and	11.997150000000001	1	7	18	212	3	2510744
212	drink	21.8232	1	7	19	213	5	1494
213	its	15.780949999999999	1	7	20	214	3	175682
214	fresh	20.6253	1	7	21	215	5	2823
215	water,	40.76935	1	7	22	216	6	0
216	so	17.701700000000002	1	7	23	217	2	54126
217	that	15.0206	1	7	24	218	4	682579
218	the	10.66665	1	7	25	219	3	5611464
219	people	17.523699999999998	1	7	26	220	6	44751
220	of	14.80085	1	7	27	221	2	2750306
221	Bradford	16.2714	1	7	28	222	8	970
222	had	15.62265	1	7	29	223	3	293952
223	second	17.906350000000003	1	7	30	224	6	67095
224	thoughts	20.600299999999997	1	7	31	225	8	1171
225	about	16.65	1	7	32	226	5	90601
226	visiting	19.09375	1	7	33	227	8	2321
227	the	10.67165	1	7	34	228	3	5611464
228	well.	34.176500000000004	1	7	35	229	5	0
229	That	10.7441	1	8	1	230	4	11528
230	the	10.718350000000001	1	8	2	231	3	5611464
231	people	17.523699999999998	1	8	3	232	6	44751
232	of	14.80085	1	8	4	233	2	2750306
233	Bradford	16.2714	1	8	5	234	8	970
234	bore	20.11755	1	8	6	235	4	1276
235	the	10.6922	1	8	7	236	3	5611464
236	brunt	21.790300000000002	1	8	8	237	5	172
237	of	14.827300000000001	1	8	9	238	2	2750306
238	the	10.6963	1	8	10	239	3	5611464
239	beast's	64.03049999999999	1	8	11	240	7	0
240	ferocity	41.948	1	8	12	241	8	107
241	was	14.068349999999999	1	8	13	242	3	1080224
242	unfair	19.5182	1	8	14	243	6	436
243	in	12.7064	1	8	15	244	2	1903316
244	the	10.68335	1	8	16	245	3	5611464
245	eyes	20.44945	1	8	17	246	4	4499
246	of	14.8032	1	8	18	247	2	2750306
247	the	10.6963	1	8	19	248	3	5611464
248	people	17.523699999999998	1	8	20	249	6	44751
249	of	14.80085	1	8	21	250	2	2750306
250	the	10.6963	1	8	22	251	3	5611464
251	region.	36.20895	1	8	23	252	7	0
252	Eventually,	35.6569	1	9	1	253	11	0
253	the	10.674900000000001	1	9	2	254	3	5611464
254	issue	19.164499999999997	1	9	3	255	5	11268
255	reached	18.068849999999998	1	9	4	256	7	19666
256	the	10.681650000000001	1	9	5	257	3	5611464
257	ears	22.202849999999998	1	9	6	258	4	1059
258	of	14.792300000000001	1	9	7	259	2	2750306
259	the	10.6963	1	9	8	260	3	5611464
260	kindly	20.89405	1	9	9	261	6	147
261	Lord	13.277999999999999	1	9	10	262	4	9078
262	of	14.80705	1	9	11	263	2	2750306
263	the	10.6963	1	9	12	264	3	5611464
264	Manor	15.85665	1	9	13	265	5	1110
265	who	15.0671	1	9	14	266	3	155994
266	the	10.6795	1	9	15	267	3	5611464
267	people	17.523699999999998	1	9	16	268	6	44751
268	had	15.6189	1	9	17	269	3	293952
