	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	7.5063	1	1	1	1	2	75318
1	you	7.98175	1	1	2	2	3	1286665
2	were	12.38485	1	1	3	3	4	229411
3	to	9.852049999999998	1	1	4	4	2	2148027
4	journey	17.69195	1	1	5	5	7	2679
5	to	9.8489	1	1	6	6	2	2148027
6	the	8.424050000000001	1	1	7	7	3	4187023
7	North	13.828800000000001	1	1	8	8	5	13794
8	of	10.43505	1	1	9	9	2	2057315
9	England,	25.80085	1	1	10	10	8	2026
10	you	7.9839	1	1	11	11	3	1286665
11	would	11.25255	1	1	12	12	5	171047
12	come	11.1355	1	1	13	13	4	102424
13	to	9.85435	1	1	14	14	2	2148027
14	a	9.61335	1	1	15	15	1	1933416
15	valley	18.864449999999998	1	1	16	16	6	1791
16	that	8.6735	1	1	17	17	4	914941
17	is	9.58635	1	1	18	18	2	1041416
18	surrounded	18.536050000000003	1	1	19	19	10	2065
19	by	12.573599999999999	1	1	20	20	2	302746
20	moors	37.48305	1	1	21	21	5	46
21	as	11.081	1	1	22	22	2	438309
22	high	15.123249999999999	1	1	23	23	4	19866
23	as	11.08135	1	1	24	24	2	438309
24	mountains.	29.04165	1	1	25	25	10	690
25	It	5.4433	1	2	1	26	2	220551
26	is	9.5806	1	2	2	27	2	1041416
27	in	9.9836	1	2	3	28	2	1489991
28	this	10.3246	1	2	4	29	4	394225
29	valley	18.8664	1	2	5	30	6	1791
30	where	10.99315	1	2	6	31	5	99866
31	you	7.9824	1	2	7	32	3	1286665
32	would	11.25255	1	2	8	33	5	171047
33	find	14.04355	1	2	9	34	4	52461
34	the	8.420300000000001	1	2	10	35	3	4187023
35	city	16.09615	1	2	11	36	4	26218
36	of	10.43445	1	2	12	37	2	2057315
37	Bradford,	28.5287	1	2	13	38	9	107
38	where	11.001100000000001	1	2	14	39	5	99866
39	once	14.059000000000001	1	2	15	40	4	25127
40	a	9.61035	1	2	16	41	1	1933416
41	thousand	17.2641	1	2	17	42	8	9653
42	spinning	18.24765	1	2	18	43	8	735
43	jennies	53.419399999999996	1	2	19	44	7	2
44	that	8.6745	1	2	20	45	4	914941
