	word	surprisal	item	sent_id	sent_pos	zone	length	freq
0	If	7.50155	1	1	1	1	2	75318
1	you	3.42535	1	1	2	2	3	1286665
2	were	10.17725	1	1	3	3	4	229411
3	to	9.042300000000001	1	1	4	4	2	2148027
4	journey	17.8549	1	1	5	5	7	2679
5	to	6.31195	1	1	6	6	2	2148027
6	the	6.3058	1	1	7	7	3	4187023
7	North	11.607199999999999	1	1	8	8	5	13794
8	of	5.78355	1	1	9	9	2	2057315
9	England,	21.43495	1	1	10	10	8	2026
10	you	6.031549999999999	1	1	11	11	3	1286665
11	would	11.51665	1	1	12	12	5	171047
12	come	9.905899999999999	1	1	13	13	4	102424
13	to	7.5943000000000005	1	1	14	14	2	2148027
14	a	8.691	1	1	15	15	1	1933416
15	valley	15.36295	1	1	16	16	6	1791
16	that	7.22395	1	1	17	17	4	914941
17	is	6.9887	1	1	18	18	2	1041416
18	surrounded	16.308	1	1	19	19	10	2065
19	by	8.1387	1	1	20	20	2	302746
20	moors	28.66685	1	1	21	21	5	46
21	as	9.635750000000002	1	1	22	22	2	438309
22	high	13.45465	1	1	23	23	4	19866
23	as	7.908950000000001	1	1	24	24	2	438309
24	mountains.	25.0369	1	1	25	25	10	690
25	It	5.6955	1	2	1	26	2	220551
26	is	5.7179	1	2	2	27	2	1041416
27	in	8.3858	1	2	3	28	2	1489991
28	this	7.55635	1	2	4	29	4	394225
29	valley	16.7688	1	2	5	30	6	1791
30	where	7.1587499999999995	1	2	6	31	5	99866
31	you	4.80635	1	2	7	32	3	1286665
32	would	11.51665	1	2	8	33	5	171047
33	find	12.26485	1	2	9	34	4	52461
34	the	4.46525	1	2	10	35	3	4187023
35	city	11.74295	1	2	11	36	4	26218
36	of	4.52025	1	2	12	37	2	2057315
37	Bradford,	23.1717	1	2	13	38	9	107
38	where	7.95695	1	2	14	39	5	99866
39	once	13.03175	1	2	15	40	4	25127
40	a	7.7108	1	2	16	41	1	1933416
41	thousand	10.9717	1	2	17	42	8	9653
42	spinning	18.63325	1	2	18	43	8	735
43	jennies	35.3842	1	2	19	44	7	2
44	that	7.08275	1	2	20	45	4	914941
45	hummed	28.5106	1	2	21	46	6	84
46	and	6.3086	1	2	22	47	3	2001994
47	clattered	29.3848	1	2	23	48	9	63
48	spun	19.282200000000003	1	2	24	49	4	400
49	wool	17.5871	1	2	25	50	4	530
50	into	11.0852	1	2	26	51	4	116557
51	money	13.90855	1	2	27	52	5	23797
52	for	7.598599999999999	1	2	28	53	3	657368
53	the	5.400449999999999	1	2	29	54	3	4187023
54	long-bearded	44.451449999999994	1	2	30	55	12	4
55	mill	17.227249999999998	1	2	31	56	4	747
56	owners.	26.78655	1	2	32	57	7	207
57	That	7.17275	1	3	1	58	4	57508
58	all	8.780349999999999	1	3	2	59	3	272314
59	mill	17.420299999999997	1	3	3	60	4	747
60	owners	19.209049999999998	1	3	4	61	6	1077
